Name,Gender,Age,City,State,Country,Join_Date,Income,Income_Group,Education,Marital_Status,Number_of_Children,Churn_Flag,customer_id
Larry Mitchell,Male,48,Kaylaborough,Maine,USA,12/29/2020,69770.52,Middle,Associate Degree,Married,0,0,1041
Yvonne Lloyd,Female,45,Kylefort,Indiana,USA,6/30/2021,62016.22,Middle,PhD,Married,4,0,1042
Gabriela Jones,Female,20,West Timothy,Virginia,USA,2/19/2023,56249.54,Lower-Middle,High School,Married,0,0,1043
Stephen Mcguire,Female,25,South Rebecca,Wisconsin,USA,6/13/2020,45546.47,Lower-Middle,Master's,Married,2,1,1044
Randy Smith,Female,30,New Julie,South Carolina,USA,3/3/2025,54713.93,Lower-Middle,Master's,Single,2,0,1045
Danielle Adams,Female,24,Heatherview,Utah,USA,8/20/2023,39821.48,Lower-Middle,Associate Degree,Single,1,1,1046
Timothy Cameron,Male,41,North Philip,Vermont,USA,7/26/2023,47088.61,Lower-Middle,Bachelor's,Married,0,0,1047
Ryan Chen,Female,38,Brewermouth,New Mexico,USA,9/13/2022,40940.63,Lower-Middle,High School,Divorced,3,1,1048
John Moran,Female,49,South Jesuston,Ohio,USA,5/21/2021,44745.94,Lower-Middle,High School,Married,0,1,1049
David King,Male,45,Nicholasmouth,West Virginia,USA,3/15/2025,42672.82,Lower-Middle,Associate Degree,Married,2,1,1050
Rachel Meyers,Female,48,West Kevinstad,Maine,USA,11/24/2024,68655.99,Middle,Master's,Single,1,0,1051
Allison Brown,Male,43,Marymouth,Michigan,USA,2/13/2022,42752.58,Lower-Middle,Bachelor's,Divorced,3,0,1052
Dr. Melissa Campbell DDS,Female,36,Bakerstad,Delaware,USA,6/16/2022,59215.45,Lower-Middle,Bachelor's,Widowed,0,0,1053
Joseph Fox,Male,70,West Bruce,Montana,USA,8/14/2023,43620.67,Lower-Middle,PhD,Single,0,1,1054
Sarah Moore,Female,26,South Elizabeth,Vermont,USA,2/14/2024,44208.92,Lower-Middle,Bachelor's,Married,5,0,1055
Nathan Davidson,Female,68,Brownville,North Dakota,USA,4/3/2023,43618.3,Lower-Middle,PhD,Married,1,0,1056
Mary Gray,Male,37,West Melissafort,Alaska,USA,11/12/2020,74664.2,Middle,Bachelor's,Single,0,0,1057
Misty Kennedy,Male,45,Gillberg,Arkansas,USA,8/8/2021,57261.84,Lower-Middle,High School,Single,0,1,1058
Veronica Johnson,Male,27,New Connorport,Massachusetts,USA,1/27/2022,48792.44,Lower-Middle,Associate Degree,Married,0,1,1059
Jason Price,Male,25,East Adamstad,Alabama,USA,2/17/2025,44938.26,Lower-Middle,Associate Degree,Single,2,0,1060
Breanna Davis,Male,42,New Susan,New Mexico,USA,1/6/2021,39835,Lower-Middle,Bachelor's,Single,1,0,1061
Jasmine Morgan,Male,54,Stevenfurt,Rhode Island,USA,5/31/2020,49224.6,Lower-Middle,Associate Degree,Married,4,0,1062
Jessica Cooper,Male,36,Travisport,Mississippi,USA,2/14/2021,38451.51,Lower-Middle,Bachelor's,Married,2,0,1063
William Watkins,Male,46,Port Nicolefort,Kentucky,USA,5/4/2021,53480.67,Lower-Middle,Associate Degree,Married,2,0,1064
Jasmine Newton,Female,36,Weisston,South Dakota,USA,10/25/2024,49382.7,Lower-Middle,Bachelor's,Married,1,0,1065
John Moore,Female,40,Richardmouth,Arkansas,USA,2/10/2025,48311.64,Lower-Middle,High School,Married,1,0,1066
Terry Thompson,Male,65,New Tristan,Nebraska,USA,2/8/2022,78573.4,Middle,Bachelor's,Single,3,0,1067
Thomas Campbell,Female,61,Port David,Arizona,USA,6/22/2021,56339.6,Lower-Middle,Bachelor's,Married,0,0,1068
Kevin Burgess,Female,45,Popechester,Idaho,USA,1/24/2021,57268.74,Lower-Middle,High School,Married,1,0,1069
Carrie Sullivan,Female,34,South Jason,Ohio,USA,5/24/2020,79229.71,Middle,High School,Single,2,0,1070
Janet Barron,Female,32,New Brianview,Arkansas,USA,5/13/2021,39618.89,Lower-Middle,High School,Married,2,0,1071
Allison Hahn,Male,70,Port Loriborough,Pennsylvania,USA,3/2/2024,52694.44,Lower-Middle,High School,Married,1,0,1072
Rebecca Thompson,Female,33,Lynchborough,New Mexico,USA,4/30/2022,36761.51,Lower-Middle,High School,Single,0,0,1073
Eric Delacruz,Male,58,New Juan,Alaska,USA,6/10/2023,61054.11,Middle,Associate Degree,Married,1,0,1074
Marissa Smith,Female,40,East Roberthaven,Oregon,USA,5/9/2022,69107.16,Middle,Associate Degree,Married,4,0,1075
Christine Kim,Female,74,Alyssaborough,New Jersey,USA,11/8/2021,23626.49,Low,Bachelor's,Married,2,0,1076
Deborah Parker,Female,40,East Philipport,Colorado,USA,1/31/2022,72899.87,Middle,Master's,Married,1,0,1077
Shawn Morgan,Male,39,North Maria,Idaho,USA,11/9/2021,64665.58,Middle,Bachelor's,Single,3,0,1078
Jonathan Kennedy,Female,49,Michaelstad,Illinois,USA,8/27/2021,60547.27,Middle,Associate Degree,Single,1,0,1079
Samuel Herring,Male,71,North Adam,Washington,USA,1/24/2024,41372.31,Lower-Middle,Bachelor's,Married,2,0,1080
Darrell Conrad,Female,73,Joshuachester,South Carolina,USA,1/29/2022,71579.15,Middle,High School,Married,0,1,1081
Christian Conway,Male,53,Reedland,Montana,USA,10/29/2023,85243.38,Middle,Master's,Widowed,4,0,1082
Lindsey Green,Female,55,Lake Vanessa,Vermont,USA,2/22/2024,53887.67,Lower-Middle,Bachelor's,Married,4,0,1083
Charles Mendez,Male,47,Port Lisa,Illinois,USA,11/25/2022,55238.22,Lower-Middle,High School,Single,2,0,1084
Cheyenne Simpson,Male,55,Port Heather,Massachusetts,USA,5/28/2023,60341.2,Middle,Bachelor's,Married,1,0,1085
Nicole Donaldson,Female,61,West Kelly,Alaska,USA,7/23/2022,54008.14,Lower-Middle,Bachelor's,Single,2,0,1086
David Brown,Male,44,Jonesmouth,Rhode Island,USA,1/14/2022,57327.54,Lower-Middle,High School,Single,3,0,1087
Matthew Miller,Female,49,South Gregory,Rhode Island,USA,11/17/2024,75427.44,Middle,Associate Degree,Single,5,0,1088
Sarah Brock,Female,45,Morganchester,Massachusetts,USA,11/9/2020,59005.32,Lower-Middle,Associate Degree,Single,2,0,1089
Latoya Page,Female,46,Haasborough,Wyoming,USA,11/12/2024,64350.74,Middle,Bachelor's,Married,1,0,1090
Richard Fuller,Female,63,Hernandezborough,North Carolina,USA,2/23/2023,90497.79,Upper-Middle,Bachelor's,Divorced,0,0,1091
Samantha Gonzalez,Female,39,North Brandyview,Florida,USA,1/29/2025,81964.6,Middle,Master's,Divorced,3,0,1092
Christopher Campbell Jr.,Female,33,Darrenside,Maine,USA,11/15/2023,44299.78,Lower-Middle,Master's,Married,2,0,1093
James Salazar,Female,43,New William,Vermont,USA,1/13/2023,86164.73,Middle,Associate Degree,Single,1,0,1094
Chris Murphy,Female,33,Gibsonborough,Utah,USA,3/3/2021,80653.47,Middle,Bachelor's,Married,1,0,1095
Paul Martin,Female,44,South Jamesburgh,Louisiana,USA,12/24/2023,82415.81,Middle,High School,Married,0,0,1096
Vanessa Vincent,Female,65,Jessicastad,Pennsylvania,USA,4/22/2025,50617.55,Lower-Middle,Associate Degree,Single,0,0,1097
Phillip Rodriguez,Female,49,Martinezfurt,Idaho,USA,9/1/2024,63173.32,Middle,Associate Degree,Single,1,1,1098
Stanley Wilson,Male,61,Shannonburgh,North Carolina,USA,6/15/2023,54125.67,Lower-Middle,Master's,Married,2,0,1099
Brittany Gomez,Male,31,New Kennethland,Kentucky,USA,9/6/2022,61815.47,Middle,High School,Single,5,0,1100
Jade White,Female,64,Port Victor,Florida,USA,4/20/2023,86276.66,Middle,Bachelor's,Married,0,0,1101
Rachel Medina,Female,48,North Joshuaton,Idaho,USA,7/23/2023,62100.87,Middle,Associate Degree,Single,1,0,1102
Jeffrey Clark,Female,21,Lake Robertburgh,North Dakota,USA,5/15/2021,34201.14,Lower-Middle,Bachelor's,Married,0,0,1103
Timothy Francis,Female,49,South Frankchester,Virginia,USA,6/12/2021,54403.36,Lower-Middle,Master's,Married,2,0,1104
Miss Tiffany Myers,Female,70,Nicholasfurt,Colorado,USA,12/8/2022,50182.03,Lower-Middle,High School,Single,0,0,1105
Hannah Thompson,Female,26,Angelahaven,California,USA,4/22/2021,86847.26,Middle,PhD,Single,4,0,1106
Samuel Ramirez,Female,47,South Mitchellmouth,Tennessee,USA,11/26/2021,47803.29,Lower-Middle,Bachelor's,Single,1,0,1107
Douglas Griffin,Female,65,East Tonymouth,Oklahoma,USA,6/18/2023,53892.23,Lower-Middle,Bachelor's,Married,1,1,1108
Eric Jones,Male,19,Markberg,Vermont,USA,6/23/2021,54411.22,Lower-Middle,Associate Degree,Single,3,0,1109
Jessica Rodriguez,Female,49,Andradeberg,Wyoming,USA,5/2/2024,83994.1,Middle,Master's,Married,2,0,1110
Timothy Green,Male,43,Edwardsburgh,Alaska,USA,6/28/2020,74405.68,Middle,Associate Degree,Single,4,0,1111
Heather Taylor,Female,39,New Jose,South Dakota,USA,3/28/2025,68519.66,Middle,Bachelor's,Single,3,0,1112
Scott Moran,Female,49,Deannafurt,New Hampshire,USA,11/19/2023,63493.42,Middle,Master's,Divorced,1,0,1113
Jessica Brooks,Male,24,Jenniferland,Colorado,USA,12/2/2021,63226.22,Middle,Bachelor's,Married,2,0,1114
Joseph Haney,Female,55,Kathleenton,Maine,USA,12/2/2024,61142.22,Middle,Bachelor's,Single,3,0,1115
Lisa Duffy,Male,18,South Matthew,Idaho,USA,1/24/2023,90829.46,Upper-Middle,High School,Married,1,0,1116
Aaron Obrien,Female,37,Cherryfurt,Alabama,USA,7/24/2021,40994,Lower-Middle,High School,Married,0,0,1117
Christine Brown,Female,44,Trujilloview,Colorado,USA,6/14/2023,18518.27,Low,Bachelor's,Married,2,0,1118
Michael Rodriguez,Male,40,Port Christopherland,North Carolina,USA,12/22/2020,66645.31,Middle,Associate Degree,Married,1,0,1119
Michelle Smith MD,Female,37,New Kathyton,Virginia,USA,11/19/2023,81040.89,Middle,Master's,Married,1,1,1120
Brian Watts,Male,59,West Karenfurt,Vermont,USA,1/30/2022,62783.3,Middle,High School,Widowed,2,0,1121
Julie Montoya,Female,68,West Joshuamouth,Alaska,USA,5/5/2023,30298.73,Lower-Middle,Bachelor's,Married,0,0,1122
Jesse Price,Male,62,Aaronchester,Mississippi,USA,3/28/2023,71187.28,Middle,High School,Married,1,1,1123
Lisa Olsen,Male,45,Pierceborough,Hawaii,USA,12/12/2022,44026.73,Lower-Middle,High School,Single,2,0,1124
Diane Johnson,Female,63,Jonesfort,Colorado,USA,12/16/2023,40745.6,Lower-Middle,High School,Single,1,0,1125
Daniel Robertson,Female,66,Angelashire,Virginia,USA,11/20/2023,45333.39,Lower-Middle,Associate Degree,Married,0,0,1126
Noah Smith,Male,41,Thorntonville,Maryland,USA,8/2/2024,35870.17,Lower-Middle,Master's,Married,1,0,1127
Heather Carter,Female,36,Michelletown,Alaska,USA,4/15/2023,63050.07,Middle,PhD,Married,2,0,1128
Diane Patrick,Female,27,Smithfort,Rhode Island,USA,3/1/2025,50282.42,Lower-Middle,Bachelor's,Divorced,0,0,1129
Glenn Walker,Female,44,South Brian,Nevada,USA,3/2/2023,40042.59,Lower-Middle,High School,Divorced,1,1,1130
Edward Drake,Male,69,East Justinchester,Oklahoma,USA,4/15/2022,95698.18,Upper-Middle,Bachelor's,Single,5,0,1131
Donna Ortiz,Male,46,Lucasside,Iowa,USA,4/24/2025,52029.25,Lower-Middle,High School,Single,0,0,1132
Brittney Williams,Male,51,North Kathryn,Oregon,USA,1/12/2022,60775.8,Middle,High School,Single,0,0,1133
Melissa Moody,Male,28,Morsehaven,Alaska,USA,5/16/2023,83310.45,Middle,PhD,Married,0,0,1134
Joshua Long,Male,30,South Seth,West Virginia,USA,1/2/2024,70162.39,Middle,High School,Single,1,0,1135
Mrs. Jessica Morse,Male,43,Washingtonbury,Michigan,USA,9/7/2021,88626.84,Middle,Bachelor's,Single,4,0,1136
David Deleon,Male,70,Port Rachael,Michigan,USA,2/15/2021,49558.3,Lower-Middle,Master's,Married,3,0,1137
Claudia Santiago,Male,39,East Joy,Tennessee,USA,11/19/2022,75711.42,Middle,Bachelor's,Married,2,0,1138
Curtis Jones,Male,62,Englishshire,Colorado,USA,3/29/2021,67358.07,Middle,Bachelor's,Married,0,0,1139
Samantha Oneill,Female,28,South Philipfort,Alabama,USA,1/29/2024,74925.56,Middle,High School,Married,2,0,1140
Mary Thompson,Male,49,Steelefurt,Alaska,USA,11/13/2023,72665.6,Middle,Master's,Married,2,0,1141
Steven Chapman,Female,48,Stonefort,Washington,USA,3/2/2022,48420.54,Lower-Middle,Associate Degree,Single,3,0,1142
Daniel Wallace,Female,61,New Jamesport,Minnesota,USA,4/23/2025,102351.4,Upper-Middle,Bachelor's,Married,2,0,1143
Austin Washington,Female,18,Mooretown,North Carolina,USA,9/2/2023,26090.07,Low,Bachelor's,Single,2,0,1144
Joyce Martin,Male,32,Griffinburgh,New Jersey,USA,3/18/2023,47036.46,Lower-Middle,Bachelor's,Married,2,0,1145
Amy Wilkerson,Male,33,North Judy,Alabama,USA,10/18/2024,70216.96,Middle,Master's,Single,2,0,1146
Susan Nguyen,Male,70,Victoriaville,Missouri,USA,11/17/2020,64359.72,Middle,Associate Degree,Married,1,1,1147
Nancy Powers,Male,30,Frazierstad,South Dakota,USA,6/28/2022,62008.68,Middle,Master's,Single,2,0,1148
Megan Garcia,Female,22,North Madeline,North Dakota,USA,1/15/2021,70733.42,Middle,Master's,Divorced,2,0,1149
Emily Dean,Male,45,New Patrickfort,Utah,USA,3/31/2021,47358.37,Lower-Middle,Master's,Married,1,0,1150
Beth Higgins,Male,45,Oneillberg,South Carolina,USA,10/6/2021,72598.71,Middle,Master's,Married,2,0,1151
Christina Smith,Male,60,North Megantown,Rhode Island,USA,5/24/2022,58062.11,Lower-Middle,High School,Married,1,0,1152
Mitchell Brennan,Male,69,East Alyssamouth,Oregon,USA,3/19/2024,81014.39,Middle,Bachelor's,Married,0,0,1153
Robert Smith,Male,46,South Christopherport,Connecticut,USA,8/28/2020,55430.68,Lower-Middle,Associate Degree,Single,1,0,1154
Melanie Tran,Female,67,South Dylanfurt,Vermont,USA,10/28/2020,67017.09,Middle,Master's,Single,2,0,1155
William Vega,Male,53,East Norma,Washington,USA,12/6/2020,69561.97,Middle,Associate Degree,Married,0,0,1156
Renee Harris,Female,35,Dawnberg,Massachusetts,USA,3/30/2022,73577.69,Middle,Bachelor's,Married,4,0,1157
Todd Cruz,Male,67,East Carol,Oregon,USA,3/27/2022,60560.59,Middle,High School,Married,1,0,1158
Kimberly Warren,Female,51,Lake Kelseyview,Rhode Island,USA,7/7/2022,55702.23,Lower-Middle,Bachelor's,Married,4,0,1159
Fred Miller,Male,41,Allenville,Maine,USA,9/16/2020,48374.86,Lower-Middle,Associate Degree,Single,1,0,1160
Eric Lucas,Male,51,South Robertside,West Virginia,USA,2/3/2021,67292.48,Middle,Bachelor's,Married,0,0,1161
Mary Evans,Female,41,New Karatown,Maryland,USA,7/17/2020,31540.24,Lower-Middle,Bachelor's,Married,0,0,1162
Amy Wood,Female,28,Wrightside,New Jersey,USA,6/24/2023,64633.66,Middle,Associate Degree,Married,3,0,1163
Amanda Wilkinson,Female,53,Port Stacey,Virginia,USA,12/11/2022,65749.42,Middle,Master's,Married,0,0,1164
Justin Anderson,Male,59,Alexport,Nevada,USA,2/4/2022,88110.25,Middle,Master's,Single,2,0,1165
Margaret Estrada,Female,54,Brownland,Kansas,USA,8/16/2024,50090.15,Lower-Middle,Master's,Married,2,1,1166
Deborah Donovan,Male,34,Victoriashire,Connecticut,USA,10/5/2021,62815.77,Middle,High School,Single,2,0,1167
Charles Blankenship,Male,70,Martinborough,North Dakota,USA,11/25/2021,62385.94,Middle,High School,Single,2,0,1168
Jeremiah Garcia,Female,21,Floydfort,New Hampshire,USA,1/25/2022,43409.23,Lower-Middle,Bachelor's,Married,3,0,1169
Taylor Robertson,Female,38,West Victoria,Montana,USA,5/22/2020,59917.39,Lower-Middle,High School,Married,3,0,1170
Jared Whitaker,Male,35,North Larryburgh,Hawaii,USA,6/18/2021,39876.66,Lower-Middle,Associate Degree,Married,1,0,1171
Sheila Hall,Male,23,West Mariafurt,South Dakota,USA,8/24/2020,74444.47,Middle,Master's,Widowed,0,0,1172
Caroline Johnson,Female,41,Joelside,Massachusetts,USA,7/9/2021,68860.95,Middle,Associate Degree,Divorced,2,0,1173
Sarah Williams,Female,49,Matthewtown,Tennessee,USA,2/23/2025,66473.54,Middle,Associate Degree,Married,4,0,1174
Roy Rivera,Female,63,North Amandamouth,New Hampshire,USA,8/20/2021,50445.59,Lower-Middle,Bachelor's,Widowed,4,0,1175
Johnny Flynn,Male,74,East Mckenziebury,Alaska,USA,12/1/2024,81281.47,Middle,PhD,Married,1,0,1176
Mary Brown,Male,58,Johnberg,West Virginia,USA,9/6/2022,43727.98,Lower-Middle,High School,Single,0,1,1177
Haley Olsen,Male,43,Margaretside,Connecticut,USA,3/9/2023,60750.29,Middle,PhD,Married,3,0,1178
Adam Flores,Male,53,Jeffreybury,New Hampshire,USA,12/28/2023,42462.12,Lower-Middle,Bachelor's,Married,1,0,1179
Brian Walker,Male,60,Jenniferfurt,Nevada,USA,2/13/2024,57251.87,Lower-Middle,Bachelor's,Single,1,0,1180
Alexander Chaney MD,Male,43,West Lisafurt,Nebraska,USA,1/15/2023,79065.83,Middle,High School,Married,1,0,1181
Shannon Rowe,Female,56,Simmonsburgh,Massachusetts,USA,10/24/2024,67086.12,Middle,Bachelor's,Married,1,0,1182
Chelsea King,Male,44,Port Aaronchester,Georgia,USA,12/27/2020,46184.64,Lower-Middle,High School,Married,1,1,1183
Geoffrey Sullivan,Male,40,Powerstown,Rhode Island,USA,2/17/2024,52168.91,Lower-Middle,Bachelor's,Married,2,0,1184
Christine Oconnell,Male,45,Parkston,Alabama,USA,5/22/2024,54307.84,Lower-Middle,Associate Degree,Married,1,1,1185
Scott Jones,Female,51,West Richardfort,Virginia,USA,3/18/2024,47485.5,Lower-Middle,Bachelor's,Single,1,0,1186
Jeffrey Valencia,Male,53,Port Jessefurt,New Mexico,USA,3/28/2025,64088.83,Middle,Associate Degree,Married,1,0,1187
Linda Vaughan,Male,39,Meredithland,South Dakota,USA,7/17/2023,92757.32,Upper-Middle,High School,Single,3,0,1188
Daniel Compton,Female,47,East Tiffanyshire,New Jersey,USA,8/20/2022,51608.56,Lower-Middle,Master's,Married,4,0,1189
Rebecca Martin,Male,65,Jimenezbury,California,USA,4/14/2025,88947.24,Middle,High School,Divorced,0,0,1190
Dustin Andersen,Male,73,Matthewfort,Louisiana,USA,10/21/2021,59945.76,Lower-Middle,Associate Degree,Single,0,0,1191
Amanda Ford MD,Male,34,East Fernando,Kansas,USA,9/16/2022,64832.53,Middle,Bachelor's,Divorced,3,0,1192
Wesley Johnson,Male,32,Port Kelsey,Colorado,USA,3/7/2025,63912.96,Middle,Master's,Married,1,1,1193
Laura Vega,Male,51,West Tracyberg,Tennessee,USA,11/5/2021,34554.71,Lower-Middle,High School,Widowed,0,0,1194
Luke Swanson,Female,41,Huynhville,Iowa,USA,10/2/2022,66820.39,Middle,Bachelor's,Divorced,2,0,1195
Lacey Marshall,Female,20,Simmonsberg,Oregon,USA,8/28/2021,23519.43,Low,Associate Degree,Married,2,0,1196
John Knox,Female,39,Gibsonport,Michigan,USA,7/30/2024,63138.33,Middle,Bachelor's,Married,4,0,1197
David Johnson,Male,58,Parkerport,Michigan,USA,1/14/2025,62441.81,Middle,Master's,Widowed,2,0,1198
Phillip Franklin,Male,57,Robertfurt,Michigan,USA,7/10/2021,36976.28,Lower-Middle,High School,Single,1,0,1199
Edwin Nolan,Male,44,North Jessica,Florida,USA,9/22/2021,60971.56,Middle,Bachelor's,Single,3,0,1200
Briana Mitchell,Female,43,Kennedyborough,Michigan,USA,1/7/2025,55606.77,Lower-Middle,Bachelor's,Divorced,2,0,1201
Kimberly Hensley,Male,47,Hendersonfort,Oklahoma,USA,11/28/2022,57694.69,Lower-Middle,Bachelor's,Single,1,0,1202
Krystal Hernandez,Male,33,Lake Dennis,South Carolina,USA,3/14/2022,57846.43,Lower-Middle,Master's,Married,2,0,1203
Robin Thomas,Female,45,East Michaelburgh,Kentucky,USA,12/26/2023,51164.13,Lower-Middle,Associate Degree,Divorced,1,0,1204
David Garcia,Male,19,West Matthewfort,Louisiana,USA,9/23/2023,61135.49,Middle,Associate Degree,Married,1,0,1205
Darlene Fleming,Female,43,South Katherine,South Carolina,USA,10/10/2022,72984.95,Middle,Bachelor's,Married,1,0,1206
Michael Cox,Female,38,Watsonville,Arizona,USA,7/17/2022,56415.7,Lower-Middle,Bachelor's,Divorced,4,0,1207
Amy Phillips,Female,51,South Alexafort,Nevada,USA,8/21/2021,59246.22,Lower-Middle,Bachelor's,Single,1,1,1208
Melissa Taylor,Male,49,Port Lisa,Washington,USA,12/1/2023,69737.4,Middle,Bachelor's,Single,1,1,1209
Justin Perez,Male,40,Jaytown,Utah,USA,12/21/2022,94043.89,Upper-Middle,Associate Degree,Married,1,0,1210
Chase Smith,Male,18,Lake Stephanieburgh,Nebraska,USA,10/8/2022,57107.92,Lower-Middle,Associate Degree,Married,1,0,1211
Taylor Jordan,Male,35,North Mollymouth,Washington,USA,10/28/2021,34465.9,Lower-Middle,Associate Degree,Divorced,2,0,1212
Penny Moore,Male,49,Marquezfurt,Washington,USA,4/19/2021,46549.69,Lower-Middle,High School,Single,2,0,1213
Kara Osborne,Male,25,Estradaburgh,Rhode Island,USA,1/14/2024,69036.65,Middle,Master's,Widowed,3,1,1214
Rachel Bailey,Male,27,South Katherinemouth,Connecticut,USA,11/9/2023,82689.36,Middle,Associate Degree,Single,1,0,1215
Ivan Wright,Female,50,Garciaside,North Dakota,USA,5/30/2020,45814.42,Lower-Middle,Associate Degree,Single,3,1,1216
James Smith,Male,55,East Daveburgh,Hawaii,USA,2/6/2025,59348.7,Lower-Middle,Bachelor's,Married,1,1,1217
Derek Carlson,Female,38,Morganstad,Arkansas,USA,11/17/2021,60289.29,Middle,High School,Married,5,0,1218
Charles Jackson,Male,44,Schneiderville,New Jersey,USA,8/29/2022,48467.68,Lower-Middle,High School,Married,3,1,1219
Eric Kim,Male,69,Richbury,California,USA,1/18/2024,83028.5,Middle,Master's,Married,1,0,1220
Susan Cox,Male,69,Edwardland,Wisconsin,USA,10/15/2024,77461.13,Middle,Master's,Single,1,0,1221
Nathaniel Daniels,Female,37,Port Scott,California,USA,2/11/2024,65162.3,Middle,Bachelor's,Single,1,1,1222
